"25";"2017-11-29 00:14:42";"bettertoday";"쉬다, 휴식을 취하다";"take a vacation";"take a break";"take a trip";"take care";"2";"50.0000";"1"
"9";"2017-11-28 23:39:37";"bettertoday";"도망가다";"take a break";"look for";"get away";"find out";"3";"50.0000";"1"
"10";"2017-11-28 23:40:28";"bettertoday";"서식지";"home";"habitat";"trap";"coast";"2";"50.0000";"1"
"11";"2017-11-28 23:41:18";"bettertoday";"충분한";"endangered";"flood";"surprised";"enough";"4";"50.0000";"1"
"12";"2017-11-28 23:42:29";"bettertoday";"덫";"trap";"trick";"treat";"add";"1";"50.0000";"1"
"13";"2017-11-28 23:43:19";"bettertoday";"~을 뜻하다, 의미하다";"mean";"become";"find out";"check";"1";"50.0000";"1"
"14";"2017-11-28 23:44:16";"bettertoday";"두다, 놓다";"trap";"bring";"take";"lay";"4";"50.0000";"1"
"15";"2017-11-28 23:45:17";"bettertoday";"홍수";"fleet";"blood";"flood";"abundant";"3";"50.0000";"1"
"16";"2017-11-28 23:46:37";"bettertoday";"(짐승의) 털";"heir";"fur";"pearl";"for";"2";"50.0000";"1"
"17";"2017-11-28 23:47:56";"bettertoday";"마지막의";"midst";"latest";"first";"last";"4";"50.0000";"1"
"18";"2017-11-28 23:48:39";"bettertoday";"먹이감";"prey";"pray";"play";"pry";"1";"50.0000";"1"
"19";"2017-11-28 23:49:28";"bettertoday";"바닷가, 해안";"riverside";"ocean";"sea";"coast";"4";"50.0000";"1"
"20";"2017-11-28 23:50:16";"bettertoday";"알아내다, 발견하다";"check out";"find out";"search for";"hunt";"2";"50.0000";"1"
"21";"2017-11-28 23:51:10";"bettertoday";"멸종 위기에 처한";" enabled";"enlarged";"endangered";"enlisted";"3";"50.0000";"1"
"22";"2017-11-28 23:51:59";"bettertoday";"(국가의) 정부";"government";"govenment";"gavernment";"gobernment";"1";"50.0000";"1"
"23";"2017-11-28 23:52:44";"bettertoday";"사냥하다";"hunt";"find out";"search for";"check out";"1";"50.0000";"1"
"24";"2017-11-28 23:53:45";"bettertoday";"위험";"warning";"attention";"watch out";"danger";"4";"50.0000";"1"
"26";"2017-11-29 00:15:32";"bettertoday";"문제, 성가신일";"trable";"truble";"travel";"trouble";"4";"50.0000";"1"
"27";"2017-11-29 00:16:07";"bettertoday";"~ 옆에";"by";"on";"under";"bye";"1";"50.0000";"1"
"28";"2017-11-29 00:18:26";"bettertoday";"~을 찾다";"get into";"check out";"look for";"turn into";"3";"50.0000";"1"
"29";"2017-11-29 00:19:11";"bettertoday";"대개는, 보통은";"usually";"actually";"really";"finally";"1";"50.0000";"1"
"30";"2017-11-29 00:20:25";"bettertoday";"배고픈";"angry";"hungry";"danger";"poor";"2";"50.0000";"1"
"31";"2017-11-29 00:21:19";"bettertoday";"반드시 ~해야만 한다";"really";"cause";"may";"must";"4";"50.0000";"1"
"32";"2017-11-29 00:22:05";"bettertoday";"오염";"pollution";"polution";"palution";"poulution";"1";"50.0000";"1"
"33";"2017-11-29 00:22:53";"bettertoday";"발생시키다, 일으키다";"turn out";"happen";"occur";"cause";"4";"50.0000";"1"
"34";"2017-11-29 00:23:48";"bettertoday";"변하다";"change";"turn over";"melt";"surprise";"1";"50.0000";"1"
"35";"2017-11-29 00:25:11";"bettertoday";"녹다, 녹아내리다";"melt";"turn";"soften";"break";"1";"50.0000";"1"
"36";"2017-11-29 00:26:21";"bettertoday";"놀란";"endangered";"surprised";"suspended";"enabled";"2";"50.0000";"1"
"37";"2017-11-29 00:27:05";"bettertoday";"혼자, 홀로";"along";"align";"alon";"alone";"4";"50.0000";"1"
